Source,Organization,Job Title,Location,Posted,Applicants Hired,Seniority Level,Employment Type,Job Function,Industry
https://br.linkedin.com/jobs/view/software-developer-at-agap2it-2495455188?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=sc%2FDv0PZ4QhHSaQS7IrGhg%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Agap2It,Software Developer,São Paulo. SP,Há 2 semanas,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/c%2B%2B-developer-at-amdocs-ltd-2499486971?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=BVPRrTWyi8yTpQtaQiZsQQ%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,AMDOCS LTD,C++ Developer,São Carlos. SP,Há 1 semana,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-de-software-java-at-bluesoft-sistemas-2312730436?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=IRwKLC%2FrskiBtjc1yuLwFA%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Bluesoft Sistemas,Desenvolvedor de Software Java,São Paulo. SP,Há 5 meses,25+ Applicants,Não aplicável,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-c%23-s%C3%AAnior-at-rhestrat%C3%A9gia-2372964814?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=G25Ci5bHtFd4l5Glm3Kj7g%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,RHEstratégia,Desenvolvedor C# Sênior,São Paulo. SP,Há 3 meses,25+ Applicants,Pleno-sênior,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-a-node-js-pleno-s%C3%AAnior-at-grace-consulting-tecnologia-e-pessoas-2256356304?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=J11DERlL0ae0YgnYUIGUBA%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Grace Consulting - Tecnologia e Pessoas,Desenvolvedor(a) Node.JS Pleno/Sênior,São Paulo. SP,Há 7 meses,25+ Applicants,Não aplicável,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-java-s%C3%AAnior-at-ewave-do-brasil-2401750661?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=Aa21VYMlopGHK1z6jFEBcw%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Ewave do Brasil,Desenvolvedor Java Sênior,São Paulo. SP,Há 3 meses,25+ Applicants,Júnior,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-java-s%C3%AAnior-at-concrete-solutions-2458035906?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=aPMib8jEWGj1y7ehbijnBg%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Concrete Solutions,Desenvolvedor Java Sênior,São Paulo. Brasil,Há 3 semanas,25+ Applicants,Pleno-sênior,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/application-developer-at-ibm-2470843642?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=rEcNy5AMJhFsKHxUSghrSA%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,IBM,Application Developer,Hortolândia. SP,Há 2 semanas,25+ Applicants,Não aplicável,Tempo integral,Outro,Hardware
https://br.linkedin.com/jobs/view/desenvolvedor-java-fullstack-s%C3%AAnior-at-page-personnel-2388163184?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=p4SopQWL%2F3Pt76Tg2Q7Q2A%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Page Personnel,Desenvolvedor Java Fullstack Sênior,Campinas. SP,Há 3 meses,25+ Applicants,Júnior,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-s%C3%AAnior-at-trentim-gest%C3%A3o-tecnologia-2485167062?refId=fba34a7e-d2cc-4a8e-a2a4-6258b6db3faf&trackingId=9P9VlbW9HbVJcHIpd778Kw%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,TRENTIM - Gestão & Tecnologia,Desenvolvedor sênior,São José dos Campos. SP,Há 2 dias,25+ Applicants,Júnior,Tempo integral,Engenharia,Tecnologia da informação
