Source,Organization,Job Title,Location,Posted,Applicants Hired,Seniority Level,Employment Type,Job Function,Industry
https://br.linkedin.com/jobs/view/remote-c%2B%2B-3d-developer-at-scopic-software-2480506625?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=YHv94v8jroENcY%2BxqCLG1A%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Scopic Software,Remote C++/3D Developer,São Paulo. SP,Há 2 semanas,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/software-engineer-at-nubank-2352262920?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=MAEKGcLGlcTN0UlvCPf1TA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Nubank,Software Engineer,São Paulo. SP,Há 7 horas,200+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/c%2B%2B-developer-at-amdocs-2496869598?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=pqn7GgNl6PAsor1lkAY5TQ%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Amdocs,C++ Developer,São Carlos. SP,Há 22 horas,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/remote-c%2B%2B-3d-developer-at-scopic-software-2476886851?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=3IpIlAM3gRsVIMfxjpa%2Fbw%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Scopic Software,Remote c++/3d developer,Santa Branca. SP,Há 2 semanas,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/software-developer-at-ericsson-2418248054?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=RhpziiT%2Bt33jXm3usX%2FCmQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Ericsson,Software Developer,Indaiatuba. SP,Há 3 semanas,54 Applicants,Não aplicável,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/application-developer-at-ibm-2470843642?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=%2Byzwtfoqc6C2o0LvB%2FCVaQ%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,IBM,Application Developer,Hortolândia. SP,Há 4 dias,25+ Applicants,Não aplicável,Tempo integral,Outro,Hardware
https://br.linkedin.com/jobs/view/c%2B%2B-developer-at-amdocs-2495618707?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=kf6KdP1XorvLPFBo5uMIjA%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Amdocs,C++ Developer,São Carlos. SP,Há 3 dias,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/c%2B%2B-developer-at-globant-2437988572?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=Uynr7eMwdQOtUYJcB2hFhg%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Globant,C++ Developer,São Paulo. Brasil,Há 4 semanas,33 Applicants,Pleno-sênior,Tempo integral,Tecnologia da informação,Tecnologia da informação e serviços 
https://br.linkedin.com/jobs/view/software-developer-at-ericsson-2496858875?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=17YFpzC%2Fo%2BBS9rtp1sCBgw%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Ericsson,Software Developer,Indaiatuba. SP,Há 22 horas,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/software-developer-at-pegasystems-2409470975?refId=bc9234ca-660c-4e4e-a015-a4f41187c680&trackingId=wapuca%2BehvLwkh2wMaK8jA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Pegasystems,Software Developer,São Paulo. Brasil,Há 4 semanas,40 Applicants,Pleno-sênior,Tempo integral,Tecnologia da informação,Software
