Source,Organization,Job Title,Location,Posted,Applicants Hired,Seniority Level,Employment Type,Job Function,Industries
https://br.linkedin.com/jobs/view/backend-developer-java-at-social-bank-2388911755?refId=23a30419-8a9f-4293-aafb-775ce1ff2d9f&trackingId=Jbvx%2BBKpgwcPYpCII%2FMiIw%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Social Bank,Backend Developer - JAVA,Uberlândia. MG,Há 3 meses,30 Applicants,Não aplicável,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-full-stack-java-sr-uberl%C3%A2ndia-home-office-at-sankhya-gest%C3%A3o-de-neg%C3%B3cios-2484062587?refId=23a30419-8a9f-4293-aafb-775ce1ff2d9f&trackingId=9BOfd8Vwf9N9R%2Bbc9XFF2w%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Sankhya Gestão de Negócios,Desenvolvedor Full Stack Java Sr (Uberlândia/Home office),Uberlândia. MG,Há 1 semana,25+ Applicants,Não aplicável,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-java-at-kyros-2495496216?refId=23a30419-8a9f-4293-aafb-775ce1ff2d9f&trackingId=947TsW9JY0t6hytPKyWlTw%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Kyros,Desenvolvedor Java,Uberlândia. MG,Há 6 dias,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-a-java-at-ene-solu%C3%A7%C3%B5es-2495475876?refId=23a30419-8a9f-4293-aafb-775ce1ff2d9f&trackingId=8Fi%2BTPYzwH8OY0BlvL0o3g%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Ene Soluções,Desenvolvedor(A) Java,Uberlândia. MG,Há 1 semana,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-a-java-uberl%C3%A2ndia-at-everis-2493855954?refId=23a30419-8a9f-4293-aafb-775ce1ff2d9f&trackingId=abuDQMbuJI1wqZXylxzISw%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,everis,Desenvolvedor (a) java | uberlândia,Uberlândia. MG,Há 2 dias,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-java-pleno-at-kyros-2495469862?refId=23a30419-8a9f-4293-aafb-775ce1ff2d9f&trackingId=VgcovAWNCMq2e1IYzxgd2g%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Kyros,Desenvolvedor Java Pleno,Uberlândia. MG,Há 1 semana,25+ Applicants,Assistente,Tempo integral,Engenharia,Tecnologia da informação
https://br.linkedin.com/jobs/view/desenvolvedor-a-java-uberl%C3%A2ndia-at-everis-2373059038?refId=23a30419-8a9f-4293-aafb-775ce1ff2d9f&trackingId=hyXok9CUdJ1Hexo30IdeBw%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,everis,Desenvolvedor (a) Java | Uberlândia,Uberlândia. MG,Há 4 meses,25+ Applicants,Não aplicável,Tempo integral,Engenharia,Tecnologia da informação
